,MAO,TR,MT,Tresp,ER,TRPV,PV,NC,PF_graus,ER1SUB,P1sub_graus,T1sub,T2sub,NC_erro,NC_tempo,length,length_1sub,integral_1sub,integral_2sub,MAO,TR,MT,Tresp,ER,TRPV,PV,NC,PF_graus,ER1SUB,P1sub_graus,T1sub,T2sub,NC_erro,NC_tempo,length,length_1sub,integral_1sub,integral_2sub
0,1.0,413.0,545.0,958.0,0.92095,68.81094999999999,100.97065,3.2,9.281699999999999,15.274799999999999,9.41125,351.5,193.5,0.22293670339316632,60.46875,17.713,16.93525,19436.409139500003,1715.9480066249998,0.0,389.5,531.0,920.5,1.8035500000000002,74.47149999999999,95.59545,2.25,3.3479775,6.0383000000000004,3.5913325,354.5,176.5,0.5313182596375229,78.44444444444444,17.812199999999997,16.574099999999998,17189.434910150005,1543.732152
1,1.0,385.0,708.5,1093.5,0.55445,71.70309999999999,57.43775000000001,2.0,8.449349999999999,16.75065,9.118749999999999,474.0,234.5,0.12348575591805484,117.25,18.1465,15.279399999999999,9014.351222125002,2094.119996375,0.0,454.5,643.5,1098.0,0.7811,64.87475,59.918600000000005,2.75,3.4374500000000006,7.209550000000002,3.706800000000001,409.5,234.0,0.427785858177321,85.0909090909091,18.558099999999996,15.145649999999998,8683.259637925,2867.3944557000004
2,1.0,397.5,989.5,1387.0,0.17114999999999997,39.852399999999996,42.13835,6.7,9.07395,21.360450000000004,11.26695,387.0,602.5,0.3161973260088818,89.92537313432835,18.188050000000004,10.84955,5733.106710950001,3534.3658525749997,0.0,408.5,985.0,1393.5,0.44315000000000004,35.40155,36.80345,6.05,3.11965,5.857025,3.6795999999999993,345.5,639.5,0.4667327549961619,105.70247933884298,18.45465,9.206600000000002,3734.3179372249992,3530.4246962750003
3,1.0,414.5,344.0,758.5,0.88835,83.44595000000001,115.30565000000001,0.65,8.915449999999998,17.0823,8.92235,293.0,51.0,0.04013844676561308,78.46153846153845,15.182899999999998,15.1277,21597.10269445,118.12559392499998,0.0,361.8333333333333,401.5,953.0,1.8089,78.39535,126.87914999999998,1.5,3.1866499999999984,5.827999999999999,3.194499999999999,300.5,101.0,0.3732178846010301,67.33333333333333,16.93525,16.784349999999996,24226.3520174,413.6342150500001
4,1.0,389.0,651.0,1040.0,0.29725,57.42775,103.32730000000001,4.0,8.50135,15.869049999999998,8.761750000000001,327.5,323.5,0.25687460666075856,80.875,18.831500000000002,16.34095,19176.757035474995,3506.355260325,0.0,338.0,854.0,1192.0,0.33494999999999997,49.65005000000001,68.87344999999999,4.45,3.091449999999999,7.54795,3.359700000000001,400.0,454.0,0.6169416331623457,102.02247191011236,18.90945,15.0642,11654.442835725,2514.889441025
5,1.0,343.0,709.0,1052.0,0.35994999999999994,56.968399999999995,50.04695,2.95,8.87735,19.6147,10.076049999999999,393.5,315.5,0.15320894844129374,106.94915254237287,18.27295,12.5953,8073.783694150002,2753.8647033499997,0.0,352.5,861.5,1214.0,0.19039999999999999,48.26709999999999,51.12545000000001,4.8,3.3479775,5.857025,3.5913325,406.0,455.5,0.24646983311938384,94.89583333333334,17.869850000000003,12.544599999999999,6210.143899724999,2668.7843462000005
6,1.0,343.0,709.0,1052.0,0.35994999999999994,56.968399999999995,50.04695,2.95,8.87735,19.6147,10.076049999999999,393.5,315.5,0.15320894844129374,106.94915254237287,18.27295,12.5953,6445.426678425,3648.4109325499994,0.0,363.0,664.0,1027.0,1.38585,50.5568,50.712,3.05,3.4122500000000002,11.32665,4.0253,322.5,341.5,0.306816352808627,111.9672131147541,17.39375,11.28565,6186.419159125001,3738.635266525
7,1.0,315.5,689.5,1005.0,0.24215,59.57865,59.4772,3.15,8.741900000000001,17.666549999999997,9.2076,409.5,280.0,0.18078097380684557,88.88888888888889,17.16915,14.543450000000002,10320.011065125,1991.1248849000003,0.0,333.0,671.5,1004.5,0.41224999999999995,63.31405000000001,61.710599999999985,3.0,3.2011499999999997,8.707099999999999,3.3858500000000005,381.5,290.0,0.361670192951048,96.66666666666667,17.976049999999997,13.90515,9452.767605325002,2671.887719625
8,1.0,364.8809523809524,415.5,1199.0,0.7656499999999999,64.18551666666666,79.05375000000001,1.05,9.605500000000001,17.10025,9.81995,339.5,76.0,0.06428072924956842,72.38095238095238,15.548449999999997,15.109750000000002,13735.1669883,411.27808410000006,0.0,493.0,538.0,1031.0,0.5882499999999999,78.6798,87.63340000000001,1.95,3.9502499999999996,4.3984,3.825099999999999,408.0,130.0,0.5117908743750247,66.66666666666667,18.986250000000002,18.213850000000004,16165.670987425,1185.06212
9,1.0,314.5,966.0,1280.5,0.2132,62.27075,64.11310000000002,4.7,7.723799999999999,14.675450000000001,8.3439,375.125,387.0,0.32498401009524797,82.34042553191489,22.2906,19.21475,11265.180495425,1757.391281525,0.0,287.0,1014.0,1301.0,0.1051,52.64085,63.261700000000005,5.4,2.9352,4.335,3.55805,381.42857142857144,495.0,1.2766259249627652,91.66666666666666,22.868650000000002,18.303700000000003,10040.844415149999,2869.76485085
10,1.0,292.0,645.0,937.0,0.43150000000000005,70.1271,84.54385,2.0,8.573250000000002,14.01715,9.339499999999997,424.5,220.5,0.14721415611325184,110.25,21.74285,18.92525,14511.58077765,2470.27060055,0.0,304.0,760.5,1064.5,0.5246999999999999,64.6785,89.9461,3.3,3.1635499999999994,3.51295,3.4260999999999995,459.5,301.0,1.1043252739897933,91.21212121212122,22.8699,20.7447,16404.617081275,2000.0303762749995
11,1.0,450.0,576.5,1026.5,0.8336499999999999,71.16545,77.53784999999999,1.4,7.97105,15.2471,8.75475,400.5,176.0,0.09713149870433518,125.71428571428572,22.465650000000004,18.643049999999995,11591.341460250002,3110.2938574499995,0.0,431.5,631.0,1062.5,2.3558499999999998,60.58239999999999,66.4423,2.0,3.0047999999999995,5.617750000000001,3.3527500000000003,408.5,222.5,0.6131395812256658,111.25,21.112199999999994,16.0721,8389.9126289,5121.8906171
12,1.0,349.0,514.0,863.0,0.89495,71.29889999999999,94.05720000000001,1.75,7.2132000000000005,15.023549999999997,7.910299999999999,356.0,158.0,0.12386223688121968,90.28571428571429,21.854899999999997,18.8667,15165.975753024997,3068.3271477000003,0.0,358.5,546.5,905.0,1.5831,83.12979999999999,94.10504999999999,1.15,3.4905,4.85655,3.5126500000000007,448.5,98.0,0.3513113076417846,85.21739130434783,23.745700000000006,22.2459,16514.90872845,1589.247835925
13,1.0,295.0,432.5,727.5,0.9626000000000001,86.0033,129.05895,1.35,6.675200000000001,12.149599999999998,6.656700000000001,358.5,74.0,0.12067578439259859,54.81481481481481,21.8444,21.7406,24260.088532824997,274.15691125,0.0,266.5,512.0,778.5,1.32175,79.36495,129.70690000000002,2.0,4.0664500000000015,4.764549999999999,4.029400000000001,396.5,115.5,0.5809225049378415,57.75,23.386,23.1828,25016.59242215,484.114902525
14,1.0,317.0,968.0,1285.0,0.20929999999999999,57.525749999999995,57.87695,4.15,8.327399999999999,17.178999999999995,9.58635,375.125,437.5,0.2445535277582987,105.42168674698794,22.387249999999995,16.71115,9114.742675274998,2431.5399554250002,0.0,320.5,944.5,1265.0,0.5322,37.75635,62.10609999999999,5.9,3.289699999999999,6.5738,3.6304500000000006,337.0,607.5,0.9765624999999999,102.96610169491525,21.68805,13.851499999999998,8614.6965915,4508.695277999999
15,1.0,318.0,503.0,821.0,0.6092833333333333,82.97330000000001,110.59125000000002,1.2,8.328530952380952,11.27215,9.151679999999999,392.0,111.0,0.13888004814508334,92.5,23.688000000000002,22.618100000000002,20222.948444575002,993.414125175,0.0,300.5,566.5,867.0,1.0315,77.34905,87.76785,1.5,3.5387499999999994,3.81775,4.071,429.5,137.0,0.5383580080753702,91.33333333333333,23.3186,21.3507,14585.714426824998,2584.698929575
16,1.0,441.5,650.0,1091.5,0.7771999999999999,67.00359999999999,69.72120000000001,2.5,7.9736,16.2733,9.35415,420.0,230.0,0.1613309155206794,92.0,23.01155,17.616899999999998,9866.6569786,3199.891611625,0.0,484.0,828.0,1312.0,1.26905,43.86755,69.0593,4.35,3.5302999999999995,6.2412,4.1751499999999995,361.5,466.5,0.874873042848667,107.24137931034484,24.494049999999998,14.503699999999998,8005.8542015250005,6163.994302900001
17,1.0,282.5,495.0,777.5,1.2325499999999998,77.57015,129.48499999999999,2.35,7.922699999999999,12.963249999999999,8.0273,347.0,148.0,0.20032905112226895,62.97872340425532,21.398999999999997,20.92705,24805.3563162,841.2261893250001,0.0,266.0,422.0,688.0,2.04215,78.98010000000001,126.15245,1.75,3.0302,2.8006499999999996,3.09085,298.5,123.5,0.6140699460743814,70.57142857142857,19.93395,19.11395,22233.312597525004,1587.497314125
18,1.0,412.5,904.0,1316.5,0.7898999999999999,43.663650000000004,40.2331,4.6,8.041649999999999,23.9287,11.17585,369.0,535.0,0.19880028350649126,116.30434782608697,21.3405,9.961450000000001,3330.4944620750002,2586.2894659500002,0.0,354.0,855.5,1209.5,0.8708500000000001,49.762750000000004,57.734,2.2,3.4760499999999994,5.53255,3.4181000000000012,432.0,423.5,0.47193084068043856,92.02032732665472,23.775599999999994,15.082000000000003,6631.7353034,2865.660981125
19,1.0,420.5,729.0,1149.5,0.51135,51.7993,59.9202,3.55,8.468049999999998,19.7975,10.081199999999999,357.0,372.0,0.1840699154574656,104.7887323943662,21.23295,14.0926,7863.512069524999,3864.9043162250005,0.0,335.0,791.0,1126.0,2.3759500000000005,50.54205,55.19865,3.35,3.1545999999999994,5.99555,3.4364499999999993,404.5,386.5,0.9255166316720081,115.3731343283582,21.06055,14.6889,7071.265698375001,3466.161155250001
20,1.0,371.0,932.0,1303.0,0.5176000000000001,29.094299999999997,41.577149999999996,6.2,8.765749999999999,24.89765,9.151679999999999,281.0,651.0,0.25430628731278243,105.0,20.94775,8.99255,5257.586927474999,4120.2232556,0.0,407.0,850.5,1257.5,2.2736999999999994,34.78575,45.0376,4.65,3.5829499999999994,8.6867,3.4712500000000004,298.0,552.5,0.7250896616248246,118.81720430107526,19.29725,10.2477,4906.330571050001,4013.4542629000002
21,1.0,398.5,529.5,928.0,0.8613,82.64470000000001,91.51705000000001,1.1,6.9196,15.579500000000001,7.1429,428.0,101.5,0.0747373999537987,92.27272727272727,19.8624,18.310849999999995,16627.384569899998,1151.0921369250002,0.0,352.0,576.5,928.5,2.12535,71.68005,96.9125,2.1,3.297650000000001,3.34955,3.4776000000000002,408.0,168.5,0.6140699460743814,80.23809523809524,19.69565,19.03695,17713.342580325,1471.74384565
